Raya (Arsenal, GKP)
Gabriel (Arsenal, DEF)
J.Timber (Arsenal, DEF)
Saliba (Arsenal, DEF)
Lewis-Skelly (Arsenal, MID)
Calafiori (Arsenal, DEF)
Hincapie (Arsenal, DEF)
White (Arsenal, DEF)
Mosquera (Arsenal, DEF)
Saka (Arsenal, MID)
Rice (Arsenal, MID)
Eze (Arsenal, MID)
Ødegaard (Arsenal, MID)
Madueke (Arsenal, MID)
Merino (Arsenal, MID)
Martinelli (Arsenal, MID)
Zubimendi (Arsenal, MID)
Nwaneri (Arsenal, MID)
Fábio Vieira (Arsenal, MID)
Nelson (Arsenal, MID)
Gyökeres (Arsenal, FWD)
Havertz (Arsenal, FWD)
G.Jesus (Arsenal, FWD)
Konsa (Arsenal, DEF)
Bruno G. (Arsenal, MID)
Tzolis (Arsenal, MID)
M.Bizot (Aston Villa, GKP)
Digne (Aston Villa, DEF)
Cash (Aston Villa, DEF)
Mings (Aston Villa, DEF)
Pau (Aston Villa, DEF)
Bogarde (Aston Villa, MID)
Maatsen (Aston Villa, DEF)
Lindelöf (Aston Villa, DEF)
A.García (Aston Villa, DEF)
Nedeljkovic (Aston Villa, DEF)
Buendía (Aston Villa, MID)
Bailey (Aston Villa, MID)
McGinn (Aston Villa, MID)
Barkley (Aston Villa, MID)
Kamara (Aston Villa, MID)
Onana (Aston Villa, MID)
Iling Jr (Aston Villa, MID)
George Hemmings (Aston Villa, MID)
Alysson (Aston Villa, MID)
Manzambi (Aston Villa, MID)
Gomes (Aston Villa, MID)
Watkins (Aston Villa, FWD)
Abraham (Aston Villa, FWD)
Garnacho (Aston Villa, MID)
N.Jackson (Aston Villa, FWD)
Madjo (Aston Villa, FWD)
Ruggeri (Aston Villa, DEF)
Suzuki (Aston Villa, GKP)
Lynch (Aston Villa, MID)
Wan-Bissaka (Aston Villa, DEF)
Goretzka (Aston Villa, MID)
Petrović (Bournemouth, GKP)
Forster (Bournemouth, GKP)
Dennis (Bournemouth, GKP)
Hill (Bournemouth, DEF)
Truffert (Bournemouth, DEF)
Milosavljević (Bournemouth, DEF)
Smith (Bournemouth, DEF)
J.Araujo (Bournemouth, DEF)
Rayan (Bournemouth, MID)
Tavernier (Bournemouth, MID)
Scott (Bournemouth, MID)
Kluivert (Bournemouth, MID)
Cook (Bournemouth, MID)
Gannon-Doak (Bournemouth, MID)
Adams (Bournemouth, MID)
Brooks (Bournemouth, MID)
Christie (Bournemouth, MID)
Tóth.A (Bournemouth, MID)
Adli (Bournemouth, MID)
Kroupi.Jr (Bournemouth, MID)
Evanilson (Bournemouth, FWD)
Enes Ünal (Bournemouth, FWD)
Rodríguez (Bournemouth, FWD)
Silva (Bournemouth, DEF)
Jebbison (Bournemouth, FWD)
Kelleher (Brentford, GKP)
Collins (Brentford, DEF)
Van den Berg (Brentford, DEF)
Lewis-Potter (Brentford, MID)
Ajer (Brentford, DEF)
Kayode (Brentford, DEF)
Henry (Brentford, DEF)
Hickey (Brentford, DEF)
Schuster (Brentford, DEF)
Schade (Brentford, MID)
O.Dango (Brentford, MID)
Damsgaard (Brentford, MID)
Jensen (Brentford, MID)
Janelt (Brentford, MID)
Milambo (Brentford, MID)
Yarmoliuk (Brentford, MID)
Dasilva (Brentford, MID)
Anthony (Brentford, MID)
Thiago (Brentford, FWD)
Furo (Brentford, FWD)
Wilson (Brentford, FWD)
M.Sangaré (Brentford, MID)
Verbruggen (Brighton, GKP)
Steele (Brighton, GKP)
F.Kadıoğlu (Brighton, DEF)
Boscagli (Brighton, DEF)
De Cuyper (Brighton, DEF)
Dunk (Brighton, DEF)
Igor (Brighton, DEF)
Costinha (Brighton, DEF)
Mitoma (Brighton, MID)
Minteh (Brighton, MID)
Hinshelwood (Brighton, MID)
Groß (Brighton, MID)
Georginio (Brighton, FWD)
Gomez (Brighton, MID)
Buonanotte (Brighton, MID)
Ayari (Brighton, MID)
Wieffer (Brighton, DEF)
Howell (Brighton, MID)
Watson (Brighton, MID)
Yohanna (Brighton, MID)
Tzimas (Brighton, FWD)
Kostoulas (Brighton, FWD)
Ferguson (Brighton, FWD)
Struijk (Brighton, DEF)
Vuskovic (Brighton, DEF)
David (Brighton, FWD)
Osman (Brighton, MID)
Yalcouyé (Brighton, MID)
Cozier-Duberry (Brighton, MID)
Azeez (Brighton, MID)
Martinez (Chelsea, GKP)
Rogers (Chelsea, MID)
Henderson (Chelsea, MID)
Welbeck (Chelsea, FWD)
Sánchez (Chelsea, GKP)
Jörgensen (Chelsea, GKP)
James (Chelsea, DEF)
Chalobah (Chelsea, DEF)
Gusto (Chelsea, DEF)
Fofana (Chelsea, DEF)
B.Badiashile (Chelsea, DEF)
Hato (Chelsea, DEF)
Colwill (Chelsea, DEF)
M.Sarr (Chelsea, DEF)
Acheampong (Chelsea, DEF)
Palestra (Chelsea, DEF)
Palmer (Chelsea, MID)
Neto (Chelsea, MID)
Estêvão (Chelsea, MID)
Caicedo (Chelsea, MID)
Lavia (Chelsea, MID)
D.Essugo (Chelsea, MID)
Quenda (Chelsea, MID)
João Pedro (Chelsea, FWD)
Marc Guiu (Chelsea, FWD)
Emegha (Chelsea, FWD)
Lacroix (Chelsea, DEF)
Barco (Chelsea, MID)
Chavarria (Chelsea, DEF)
Pinnock (Coventry City, DEF)
Onyeka (Coventry City, MID)
Rushworth (Coventry City, GKP)
Dovin (Coventry City, GKP)
Wilson (Coventry City, GKP)
Thomas (Coventry City, DEF)
Kitching (Coventry City, DEF)
van Ewijk (Coventry City, DEF)
Dasilva (Coventry City, DEF)
Kesler-Hayden (Coventry City, DEF)
Woolfenden (Coventry City, DEF)
Brau (Coventry City, DEF)
Amenda (Coventry City, DEF)
Rudoni (Coventry City, MID)
Grimes (Coventry City, MID)
Sakamoto (Coventry City, MID)
Mason-Clark (Coventry City, MID)
Torp (Coventry City, MID)
Tchaouna (Coventry City, MID)
Borges Rodrigues (Coventry City, MID)
Andrews (Coventry City, MID)
Wright (Coventry City, FWD)
Thomas-Asante (Coventry City, FWD)
Simms (Coventry City, FWD)
Markelo (Coventry City, FWD)
Bassette (Coventry City, FWD)
Awoniyi (Coventry City, FWD)
Yirenkyi (Coventry City, MID)
Hamer (Coventry City, MID)
Guessand (Crystal Palace, MID)
Disasi (Crystal Palace, DEF)
Henderson (Crystal Palace, GKP)
Richards (Crystal Palace, DEF)
Canvot (Crystal Palace, DEF)
Mitchell (Crystal Palace, DEF)
Sosa (Crystal Palace, DEF)
Chadi Riad (Crystal Palace, DEF)
Mingueza (Crystal Palace, DEF)
Sarr (Crystal Palace, MID)
Wharton (Crystal Palace, MID)
Yeremy (Crystal Palace, MID)
Hughes (Crystal Palace, MID)
Kamada (Crystal Palace, MID)
Devenny (Crystal Palace, MID)
Esse (Crystal Palace, MID)
Cardines (Crystal Palace, DEF)
Strand Larsen (Crystal Palace, FWD)
Mateta (Crystal Palace, FWD)
Nketiah (Crystal Palace, FWD)
Uche (Crystal Palace, FWD)
McNeil (Crystal Palace, MID)
Matthews (Crystal Palace, GKP)
Tomiyasu (Crystal Palace, DEF)
Khalaili (Crystal Palace, DEF)
Gozo (Crystal Palace, MID)
Chilwell (Crystal Palace, DEF)
Timber (Crystal Palace, MID)
Osorio (Crystal Palace, MID)
Nørgaard (Everton, MID)
Johnson (Everton, MID)
Pickford (Everton, GKP)
King (Everton, GKP)
Tarkowski (Everton, DEF)
Branthwaite (Everton, DEF)
Mykolenko (Everton, DEF)
Patterson (Everton, DEF)
Aznou (Everton, DEF)
Dewsbury-Hall (Everton, MID)
Grealish (Everton, MID)
Garner (Everton, MID)
George (Everton, MID)
Alcaraz (Everton, MID)
Armstrong (Everton, MID)
Röhl (Everton, MID)
Hackney (Everton, MID)
Beto (Everton, FWD)
Barry (Everton, FWD)
Maitland-Niles (Everton, DEF)
Leno (Fulham, GKP)
Lecomte (Fulham, GKP)
McNally (Fulham, GKP)
Andersen (Fulham, DEF)
Robinson (Fulham, DEF)
J.Cuenca (Fulham, DEF)
Bassey (Fulham, DEF)
Castagne (Fulham, DEF)
Iwobi (Fulham, MID)
Smith Rowe (Fulham, MID)
Kevin (Fulham, MID)
Bobb (Fulham, MID)
Berge (Fulham, MID)
Cairney (Fulham, MID)
King (Fulham, MID)
Sessegnon (Fulham, DEF)
Reed (Fulham, MID)
Muniz (Fulham, FWD)
Kusi-Asare (Fulham, FWD)
Gonzalo (Fulham, FWD)
Palacios (Fulham, MID)
Charles (Fulham, MID)
De Fougerolles (Fulham, DEF)
Larsson (Fulham, MID)
Iroegbunam (Hull City, MID)
Phillips (Hull City, GKP)
Butland (Hull City, GKP)
Cartwright (Hull City, GKP)
